section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
 سرية خضرة، اميرها ابو قتادة في شعبان سنة ثمان,648,51,3,7.87037037037037
 شان غزوة الفتح,20488,800,47,3.904724716907458
 الجزء الثالث,2,0,0,0
 شان هدم العزي,369,0,0,0
 باب ذكر من قتل من المسلمين يوم الفتح,52,0,0,0
 غزوة بني جذيمة,2242,113,7,5.04014272970562
 غزوة حنين,8187,253,12,3.0902650543544645
 تسمية من استشهد بحنين,47,0,0,0
 شان غزوة الطاءف,3439,0,0,0
 تسمية من استشهد بالطاءف,181,0,0,0
 شان مسير النبي صلي الله عليه وسلم الي الجعرانة علي عشرة اميال من مكة,2257,50,2,2.2153300841825434
 ذكر وفد هوازن,2169,0,0,0
 قدوم عروة بن مسعود,3139,6,1,0.1911436763300414
 بعثة رسول الله صلي الله عليه وسلم المصدقين,1408,11,1,0.78125
 بعثة الوليد بن عقبة الي بني المصطلق,225,0,0,0
 باب شان سرية قطبة بن عامر الي خثعم في صفر سنة تسع,94,17,1,18.085106382978726
 سرية بني كلاب اميرها الضحاك بن سفيان الكلابي,267,37,2,13.857677902621724
 شان سرية اميرها علقمة بن مجزز المدلجي في ربيع الاخر سنة تسع,149,0,0,0
 سرية علي بن ابي طالب عليه السلام الي الفلس في ربيع الاخر سنة تسع,1174,16,1,1.362862010221465
 غزوة تبوك,7692,40,3,0.5200208008320333
 ذكر ما نزل من القران في غزوة تبوك,558,0,0,0
 غزوة اكيدر بن عبد الملك بدومة الجندل في رجب سنة تسع، وهي علي عشرة اميال من المدينة.,8246,228,9,2.7649769585253456
 ذكر ما نزل من القران في غزوة تبوك,3473,9,1,0.2591419522027066
 حجة ابي بكر رضي الله عنه سنة تسع,514,0,0,0
 سرية علي بن ابي طالب عليه السلام الي اليمن,1065,32,2,3.004694835680751
 باب ما جاء فيما يءخذ من الصدقات,987,77,3,7.801418439716312
 حجة الوداع,3372,356,17,10.55753262158956
 خطبة النبي صلي الله عليه وسلم بعرفة قبل الصلاتين,1227,183,10,14.91442542787286
 حلق شعر رسول الله صلي الله عليه وسلم,580,0,0,0
 خطبة النبي صلي الله عليه وسلم يوم النحر,1031,83,5,8.050436469447138
 عيادة النبي صلي الله عليه وسلم لسعد بن ابي وقاص بعد حجة الوداع,277,30,2,10.830324909747292
 غزوة اسامة بن زيد مءتة,2304,135,7,5.859375
