run,alignments_in_new_total,alignments_in_old_total,average_end_difference,average_start_difference,average_start_or_end_difference,combined_in_new,end_did_not_change,ends_earlier_in_new,ends_later_in_new,evaluated_alignments_in_new,evaluated_alignments_in_old,max_end_difference,max_start_difference,median_end_difference,median_start_difference,min_end_difference,min_start_difference,not_in_new,not_in_new_plus_not_in_old,not_in_old,split_in_new,start_did_not_change,start_or_end_did_not_change,starts_earlier_in_new,starts_later_in_new,score
10_50_300_20_nonfl,2149,1657,75.90372670807453,-0.6195652173913043,38.261645962732906,0,121,197,326,439,345,1275,959,1.0,-1.0,-495,-300,6,160,154,48,78,199,440,126,80.0
4_50_300_28_nonfl,2140,1657,49.90220820189275,8.547318611987384,29.224763406940063,0,121,220,293,408,345,1597,959,0.0,-1.0,-817,-300,8,177,169,31,80,201,407,147,80.0
6_70_100_28_float,1982,1657,124.235,46.6,85.4175,0,213,91,296,425,345,1506,962,0.0,-1.0,-1039,-100,11,136,125,72,0,213,409,191,80.0
2_70_100_28_float,1986,1657,124.235,46.6,85.4175,0,213,91,296,425,345,1506,962,0.0,-1.0,-1039,-100,11,136,125,72,0,213,409,191,80.0
10_70_100_28_float,1969,1657,125.03678929765886,46.67725752508361,85.85702341137123,0,213,89,296,422,345,1506,962,0.0,-1.0,-1039,-100,11,132,121,72,0,213,409,189,80.0
6_30_300_28_nonfl,2349,1657,83.35396825396825,-2.107936507936508,42.73095238095238,0,117,194,319,449,345,1597,631,1.0,-1.0,-682,-300,9,210,201,51,85,202,413,132,80.0
10_60_500_20_nonfl,2018,1657,62.85849056603774,-14.022012578616351,38.440251572327035,1,124,201,311,410,345,1275,959,0.0,-1.0,-495,-645,6,143,137,36,75,199,445,116,80.0
4_70_100_28_float,1985,1657,124.235,46.6,85.4175,0,213,91,296,425,345,1506,962,0.0,-1.0,-1039,-100,11,136,125,72,0,213,409,191,80.0
8_70_100_28_float,1974,1657,125.03678929765886,46.67725752508361,85.85702341137123,0,213,89,296,422,345,1506,962,0.0,-1.0,-1039,-100,11,133,122,72,0,213,409,189,80.0
10_70_500_20_nonfl,1915,1657,61.37697160883282,-13.317034700315453,37.34700315457413,1,124,201,309,397,345,1275,959,0.0,-1.0,-495,-645,6,131,125,35,75,199,440,119,80.0
6_40_700_28_nonfl,2079,1657,41.57051282051282,-8.011217948717949,24.790865384615387,0,124,218,282,402,345,1275,631,0.0,-1.0,-682,-756,9,188,179,25,78,202,416,130,80.0
8_40_700_36_float,2246,1657,17.648692810457515,10.32843137254902,13.988562091503267,0,283,98,231,397,345,924,629,0.0,-1.0,-656,-382,12,234,222,13,1,284,471,140,90.0
2_60_700_28_nonfl,1883,1657,39.346153846153854,-5.251602564102563,22.2988782051282,0,125,222,277,373,345,1275,959,0.0,-1.0,-682,-756,8,145,137,18,75,200,411,138,90.0
6_50_700_28_nonfl,1958,1657,38.09646302250804,-7.078778135048232,22.58762057877814,0,124,219,279,385,345,1275,959,0.0,-1.0,-682,-756,9,166,157,21,77,201,415,130,90.0
8_30_500_36_float,2359,1657,29.27035830618893,9.319218241042343,19.294788273615637,0,271,93,250,417,345,924,653,0.0,-1.0,-398,-382,12,246,234,23,1,272,473,140,90.0
4_50_500_36_float,1928,1657,11.98821548821549,12.648148148148149,12.318181818181818,0,270,99,225,368,345,895,653,0.0,-1.0,-998,-382,12,185,173,12,1,271,453,140,90.0
6_50_700_36_float,1890,1657,13.32542372881356,10.659322033898308,11.992372881355937,0,276,93,221,362,345,895,629,0.0,-1.0,-998,-382,12,183,171,10,1,277,451,138,90.0
8_30_300_36_float,2485,1657,71.46742671009773,13.356677524429967,42.412052117263855,0,259,78,277,441,345,1596,629,0.0,-1.0,-403,-255,12,249,237,42,1,260,468,145,90.0
8_40_500_36_float,2291,1657,22.651960784313733,11.648692810457515,17.15032679738562,0,275,96,241,404,345,924,653,0.0,-1.0,-656,-382,12,237,225,18,1,276,471,140,90.0
8_40_300_36_float,2393,1657,57.31045751633985,18.15686274509804,37.73366013071895,0,265,86,261,423,345,1596,629,0.0,-1.0,-656,-255,12,239,227,33,1,266,464,147,90.0
8_30_700_36_float,2307,1657,23.10097719869707,9.074918566775244,16.087947882736152,0,281,95,238,409,345,924,629,0.0,-1.0,-398,-382,12,242,230,17,1,282,473,140,90.0
2_50_700_36_float,1898,1657,12.925925925925926,9.856902356902355,11.391414141414142,0,278,95,221,364,345,895,629,0.0,-1.0,-998,-382,12,183,171,10,1,279,455,138,90.0
6_50_500_36_float,1924,1657,12.381355932203391,13.469491525423727,12.92542372881356,0,268,97,225,366,345,895,653,0.0,-1.0,-998,-382,12,185,173,12,1,269,449,140,90.0
4_50_700_36_float,1894,1657,12.925925925925926,9.856902356902355,11.391414141414142,0,278,95,221,364,345,895,629,0.0,-1.0,-998,-382,12,183,171,10,1,279,455,138,90.0
6_40_500_28_nonfl,2114,1657,45.30769230769231,-1.823717948717949,23.565705128205128,0,123,216,285,408,345,1275,631,0.0,-1.0,-682,-500,9,191,182,28,78,201,414,132,90.0
2_50_500_36_float,1932,1657,11.98821548821549,12.648148148148149,12.318181818181818,0,270,99,225,368,345,895,653,0.0,-1.0,-998,-382,12,185,173,12,1,271,453,140,90.0
10_60_300_20_nonfl,2055,1657,74.85579937304075,2.260188087774295,38.557993730407524,0,121,201,316,421,345,1275,959,0.0,-1.0,-495,-300,6,142,136,45,77,198,430,131,90.0
6_50_500_28_nonfl,1985,1657,34.842443729903536,-0.8713826366559485,17.856913183279744,0,123,221,278,388,345,1275,959,0.0,-1.0,-817,-500,9,168,159,22,77,200,413,132,100.0
6_40_300_28_nonfl,2181,1657,63.134615384615394,5.8173076923076925,34.47596153846154,0,119,210,295,419,345,1597,631,0.0,-1.0,-682,-300,9,192,183,38,81,200,399,144,100.0
6_50_300_28_nonfl,2035,1657,50.84516129032258,8.758064516129032,29.80161290322581,0,119,215,286,397,345,1597,959,0.0,-1.0,-817,-300,9,168,159,31,80,199,396,144,110.0
2_60_500_28_nonfl,1893,1657,36.37258064516129,0.567741935483871,18.470161290322586,0,124,222,274,373,345,1275,959,0.0,-1.0,-817,-500,9,145,136,19,75,199,407,138,110.0
4_60_700_28_nonfl,1823,1657,38.917475728155345,-6.100323624595469,22.508899676375407,0,125,218,275,365,345,1275,959,0.0,-1.0,-682,-756,10,134,124,18,75,200,409,134,110.0
2_70_700_28_nonfl,1744,1657,38.53745928338762,-6.657980456026058,22.59771986970684,0,127,218,269,353,345,1275,959,0.0,-1.0,-682,-756,10,126,116,16,73,200,406,135,110.0
6_50_300_36_float,1997,1657,43.68537414965985,22.246598639455787,32.965986394557824,0,260,87,241,379,345,1596,873,0.0,-1.0,-998,-255,14,189,175,25,1,261,439,148,110.0
4_50_300_36_float,1999,1657,43.22542372881356,22.06610169491525,32.64576271186441,0,260,89,241,380,345,1596,873,0.0,-1.0,-998,-255,14,189,175,25,1,261,441,148,110.0
2_50_300_36_float,2002,1657,43.22542372881356,22.06610169491525,32.64576271186441,0,260,89,241,380,345,1596,873,0.0,-1.0,-998,-255,14,189,175,25,1,261,441,148,110.0
2_60_300_28_nonfl,1922,1657,45.31331168831169,8.305194805194805,26.809253246753244,0,120,218,278,378,345,1275,959,0.0,-1.0,-817,-300,9,143,134,27,78,198,390,148,120.0
4_60_700_36_float,1621,1657,13.790940766550523,10.16898954703833,11.979965156794426,0,280,85,209,329,345,895,636,0.0,-1.0,-998,-382,15,137,122,7,0,280,439,135,120.0
10_40_700_36_float,2102,1657,17.951505016722408,9.031772575250836,13.491638795986619,0,272,97,229,382,345,924,629,0.0,-1.0,-656,-382,15,213,198,13,1,273,461,136,120.0
