run	alignments_in_new_total	alignments_in_old_total	average_end_difference	average_start_difference	average_start_or_end_difference	combined_in_new	end_did_not_change	ends_earlier_in_new	ends_later_in_new	max_end_difference	max_start_difference	median_end_difference	median_start_difference	min_end_difference	min_start_difference	not_in_new	not_in_new_plus_not_in_old	not_in_old	split_in_new	start_did_not_change	start_or_end_did_not_change	starts_earlier_in_new	starts_later_in_new
2_60_700_20_float	3054	1657	86.58281053952321	-16.677227101631118	51.63001882057716	13	960	420	1808	1280	962	8.0	-1.0	-513	-948	8	1175	1167	245	19	979	2546	623
4_70_100_12_nonfl	3195	1657	138.5804487179487	16.75224358974359	77.66634615384615	3	327	785	2008	1490	960	23.0	-1.0	-600	-209	18	1013	995	464	285	612	2047	788
8_30_300_12_float	9403	1657	192.97545454545454	-20.984536082474225	106.97999531396438	4	662	227	2411	1590	683	72.0	-1.0	-473	-775	0	6619	6619	743	25	687	2844	429
8_60_300_36_float	1686	1657	45.78132387706856	23.472419227738378	34.62687155240347	0	819	474	1245	1385	1144	0.0	-1.0	-1108	-319	162	450	288	125	13	832	1813	712
10_40_700_28_nonfl	1599	1657	59.668012924071085	-10.909127625201938	35.28857027463651	10	376	733	1367	1275	963	3.0	-1.0	-647	-720	184	394	210	129	307	683	1637	532
4_40_100_12_nonfl	4762	1657	171.2297213622291	3.891950464396285	87.56083591331269	3	309	651	2270	1588	806	45.0	-1.0	-600	-209	7	2201	2194	640	317	626	2252	661
6_30_500_12_float	12001	1657	188.41033434650456	-33.60577507598784	111.0080547112462	7	657	243	2390	1494	836	70.0	-1.0	-757	-1008	0	9246	9246	731	26	683	2847	417
10_50_500_28_nonfl	1572	1657	52.426341072858285	-6.169735788630905	29.298038430744594	2	380	768	1350	1275	960	3.0	-1.0	-817	-520	183	369	186	121	305	685	1650	543
4_70_100_20_nonfl	2346	1657	101.26635514018692	35.34245660881175	68.30440587449934	0	334	948	1714	1499	966	8.0	-1.0	-1113	-120	51	463	412	344	305	639	1737	954
2_50_700_28_float	2292	1657	49.80581550802139	-1.8883689839572193	25.847092245989305	11	950	523	1519	1280	962	2.0	-1.0	-805	-948	50	694	644	132	16	966	2279	697
4_60_100_20_nonfl	2593	1657	117.67838370565046	31.744743758212877	74.71156373193168	0	331	909	1804	1597	966	11.0	-1.0	-888	-120	38	600	562	394	309	640	1796	939
8_40_500_12_nonfl	3909	1657	140.59742647058823	-37.888786764705884	89.24310661764706	9	356	667	2241	1490	506	38.0	-4.0	-486	-1005	2	1579	1577	516	317	673	2496	451
10_70_300_28_float	1851	1657	53.17290049400141	12.681721947776994	32.9273112208892	0	882	502	1450	1280	962	2.0	-1.0	-1108	-319	93	363	270	150	13	895	2115	706
4_30_500_12_nonfl	6591	1657	147.5015216068168	-39.295496043822276	93.39850882531954	9	350	647	2289	1490	506	41.0	-4.0	-486	-1005	0	4177	4177	557	326	676	2536	424
2_60_300_28_nonfl	1922	1657	50.9534965034965	9.064335664335664	30.008916083916084	0	381	933	1546	1275	1077	3.0	-1.0	-817	-320	89	418	329	151	342	723	1810	708
8_70_100_20_nonfl	2198	1657	104.60524523160763	35.485013623978205	70.04512942779292	0	332	917	1687	1499	966	8.0	-1.0	-1113	-120	69	363	294	344	300	632	1707	929
8_30_500_28_float	3908	1657	61.650510204081634	-1.9980867346938775	31.824298469387756	4	933	537	1666	1383	805	3.0	-1.0	-712	-588	24	2097	2073	228	17	950	2426	693
10_40_700_20_nonfl	2164	1657	85.75646258503401	-25.517335146159077	55.63689886559655	15	393	789	1758	1275	963	9.0	-1.0	-513	-821	65	467	402	244	350	743	2055	537
10_70_300_12_nonfl	2837	1657	122.09116719242903	-17.080126182965298	69.58564668769716	5	365	751	2054	1490	960	24.0	-3.0	-517	-443	15	754	739	394	293	658	2340	537
10_40_500_12_nonfl	3450	1657	141.56639901173563	-37.90735021618283	89.73687461395923	9	354	657	2227	1490	506	38.0	-4.0	-486	-1005	6	1139	1133	514	315	669	2479	444
