run	alignments_in_new_total	alignments_in_old_total	average_end_difference	average_start_difference	average_start_or_end_difference	combined_in_new	end_did_not_change	ends_earlier_in_new	ends_later_in_new	max_end_difference	max_start_difference	median_end_difference	median_start_difference	min_end_difference	min_start_difference	not_in_new	not_in_new_plus_not_in_old	not_in_old	split_in_new	start_did_not_change	start_or_end_did_not_change	starts_earlier_in_new	starts_later_in_new
6_30_300_28_nonfl	2349	1657	88.61126662001399	-2.552484254723583	45.58187543736879	0	364	808	1686	1597	806	8.0	-1.0	-682	-320	91	694	603	270	355	719	1867	636
2_50_700_12_float	16858	1657	177.15888137676706	-39.999078057775044	108.57897971727105	13	672	282	2300	1494	845	61.0	-1.0	-847	-1162	1	14320	14319	640	25	697	2743	486
6_40_100_28_float	3636	1657	125.93052837573386	37.27168949771689	81.60110893672538	0	691	597	1778	1596	901	13.0	-1.0	-890	-119	34	1505	1471	460	24	715	2054	988
8_30_500_36_nonfl	1475	1657	51.162114537444936	-1.6096916299559472	26.38590308370044	1	346	713	1211	1388	806	2.0	-1.0	-713	-520	254	459	205	122	299	645	1431	540
4_50_500_12_nonfl	4829	1657	135.5319214241866	-36.673112338858196	86.1025168815224	9	360	684	2214	1490	636	35.0	-4.0	-486	-1005	3	2572	2569	480	311	671	2479	468
8_30_100_36_float	2984	1657	168.34438955539872	38.39484827099506	103.36961891319689	0	561	529	1744	1596	901	26.0	-1.0	-868	-119	91	891	800	533	24	585	1813	997
4_60_300_20_float	2807	1657	84.03930817610063	-0.820125786163522	42.429716981132074	3	945	456	1779	1288	962	7.0	-1.0	-804	-883	12	904	892	274	15	960	2511	654
2_60_500_20_float	2957	1657	81.25702685821362	-11.591760299625468	46.42439357891954	5	970	427	1805	1280	962	8.0	-1.0	-499	-948	8	1071	1063	243	19	989	2564	621
4_30_500_36_nonfl	2021	1657	44.660781367392936	4.508264462809917	24.584522915101427	1	372	869	1421	1388	806	2.0	-1.0	-713	-520	138	676	538	138	345	717	1626	691
4_70_700_28_float	1857	1657	45.75972222222222	-1.5017361111111112	23.63072916666667	11	948	502	1430	1280	962	0.0	-1.0	-1108	-822	70	372	302	103	16	964	2181	683
2_40_300_28_float	3326	1657	67.61093247588424	8.958842443729903	38.284887459807074	2	891	545	1674	1596	805	3.0	-1.0	-712	-553	26	1524	1498	236	18	909	2331	761
8_40_700_12_float	8892	1657	182.6834862385321	-41.03211009174312	111.85779816513761	13	660	275	2335	1494	845	66.0	-1.0	-847	-1162	0	6254	6254	680	25	685	2784	461
6_40_700_12_nonfl	4587	1657	143.97667280540207	-48.01781326781327	95.99724303660767	14	355	665	2238	1490	700	38.0	-5.0	-981	-1005	2	2253	2251	522	311	666	2488	457
6_40_700_36_nonfl	1599	1657	38.13493377483444	0.5364238410596026	19.33567880794702	10	364	799	1253	1388	806	2.0	-1.0	-999	-720	195	486	291	90	315	679	1486	615
8_40_700_36_nonfl	1391	1657	42.48075201432408	-2.7059086839749327	22.593330349149507	10	349	721	1164	1388	806	2.0	-1.0	-999	-720	255	431	176	88	301	650	1390	543
8_50_300_28_nonfl	1814	1657	62.64291072768192	5.373968492123031	34.008439609902474	0	361	832	1473	1597	960	3.0	-1.0	-817	-320	137	430	293	169	328	689	1701	637
8_50_700_28_nonfl	1731	1657	48.98899848254932	-9.983687405159332	29.486342943854325	10	383	837	1416	1275	963	2.0	-1.0	-806	-821	135	422	287	110	328	711	1711	597
6_50_300_12_nonfl	3939	1657	135.33518176216882	-21.264325323475045	78.29975354282193	5	357	696	2193	1588	960	34.0	-4.0	-517	-443	4	1678	1674	482	306	663	2442	498
2_30_100_12_nonfl	7179	1657	185.13716545012164	0.1575425790754258	92.64735401459853	3	299	601	2388	1588	806	53.5	-1.0	-538	-209	1	4447	4446	711	329	628	2334	625
6_60_700_28_nonfl	1745	1657	44.321323529411764	-7.4555147058823525	25.888419117647057	10	396	889	1435	1275	963	2.0	-1.0	-806	-821	109	388	279	95	333	729	1750	637
8_60_500_12_float	6462	1657	166.3179581795818	-28.800123001230013	97.55904059040591	7	713	297	2242	1494	962	54.0	-1.0	-757	-1008	1	4018	4017	588	26	739	2734	492
4_30_500_20_float	7044	1657	96.6859756097561	-16.556368068251068	56.62117183900358	5	923	407	1950	1383	805	15.0	-1.0	-561	-948	0	4959	4959	359	21	944	2682	579
6_70_700_12_float	8329	1657	164.126400996264	-36.83302180685358	100.4797114015588	13	711	315	2186	1494	962	50.0	-1.0	-847	-1162	1	5973	5972	545	25	736	2660	525
4_40_500_28_float	3238	1657	51.34439432989691	1.4758376288659794	26.410115979381445	4	953	545	1606	1280	805	3.0	-1.0	-712	-588	28	1511	1483	176	17	970	2367	720
10_70_700_36_float	1435	1657	31.094088259783515	7.063280599500416	19.078684429641967	12	842	433	1127	1385	957	0.0	-1.0	-1108	-822	195	371	176	55	12	854	1766	624
2_50_100_12_nonfl	4483	1657	160.54226675015656	9.160613650594865	84.8514402003757	3	313	699	2182	1588	960	36.0	-1.0	-699	-209	9	2071	2062	575	307	620	2169	718
10_60_300_12_float	4977	1657	163.6046942557134	-13.567634342186535	88.58616429894997	4	724	294	2220	1580	962	53.0	-1.0	-513	-775	1	2545	2544	578	23	747	2701	514
4_70_100_28_nonfl	1838	1657	90.2847809377402	46.530361260568796	68.4075710991545	0	273	897	1432	1499	1336	3.0	-1.0	-1157	-120	152	351	199	284	289	562	1402	911
8_40_700_12_nonfl	3934	1657	144.10984615384615	-48.080357142857146	96.09510164835164	14	353	665	2232	1490	700	38.0	-5.0	-981	-1005	2	1605	1603	521	311	664	2482	455
6_50_700_28_float	2262	1657	50.0497646267653	-2.128446536650975	26.08910558170814	11	942	519	1513	1280	962	2.0	-1.0	-805	-948	55	678	623	132	16	958	2269	689
10_50_300_36_float	1982	1657	53.15681137724551	21.329715568862277	37.243263473053894	0	819	515	1338	1596	957	1.0	-1.0	-998	-319	125	607	482	153	15	834	1915	742
10_40_100_36_float	2668	1657	145.01485507246377	45.053623188405794	95.03423913043478	0	558	584	1618	1596	1131	16.5	-1.0	-930	-119	110	758	648	465	22	580	1731	1007
8_70_300_28_float	1862	1657	52.80091292134831	12.555126404494382	32.67801966292135	0	884	506	1458	1280	962	2.0	-1.0	-1108	-319	90	364	274	150	13	897	2126	709
6_70_700_20_float	2636	1657	82.12713472485768	-15.939633375474083	49.033384050165886	13	961	436	1765	1280	962	6.0	-1.0	-513	-948	9	808	799	221	19	980	2509	636
6_60_500_36_float	1641	1657	27.95774647887324	12.546948356807512	20.252347417840376	1	879	487	1190	1385	957	0.0	-1.0	-1108	-519	150	438	288	72	15	894	1856	685
2_70_300_28_float	1893	1657	52.13038942976356	12.449235048678721	32.28981223922114	0	888	514	1474	1280	962	2.5	-1.0	-1108	-319	79	370	291	150	13	901	2148	715
2_30_100_20_nonfl	5972	1657	152.171875	18.839767156862745	85.50582107843137	0	314	802	2148	1623	966	29.0	-1.0	-888	-149	3	3523	3520	580	341	655	2037	886
4_70_500_12_nonfl	4067	1657	125.4292364990689	-33.55803848541279	79.49363749224085	9	367	741	2114	1490	959	26.0	-4.0	-495	-1005	3	1942	1939	404	299	666	2415	508
10_70_100_36_float	1600	1657	69.11375432525952	65.27032871972318	67.19204152249135	0	559	616	1137	1506	1203	0.0	-1.0	-1116	-119	231	406	175	230	11	570	1395	906
6_30_300_20_float	6964	1657	110.42188449848024	-8.072948328267477	59.247416413373855	3	898	405	1987	1383	805	18.0	-1.0	-625	-883	1	4803	4802	415	20	918	2657	613
6_40_700_36_float	2403	1657	33.67580872011252	11.243319268635725	22.459563994374122	12	911	572	1361	1385	901	0.0	-1.0	-804	-822	72	936	864	107	15	926	2046	783
10_60_100_36_nonfl	1439	1657	94.33638996138995	62.93532818532819	78.63585907335907	0	220	728	1124	1487	1211	3.0	0.0	-1114	-120	303	394	91	260	239	459	1023	810
2_70_100_12_nonfl	3407	1657	138.5804487179487	16.75224358974359	77.66634615384615	3	327	785	2008	1490	960	23.0	-1.0	-600	-209	17	1224	1207	464	285	612	2047	788
2_50_500_28_nonfl	2150	1657	41.77001356852103	-3.0831071913161465	22.426560379918588	2	406	975	1567	1275	960	2.0	-1.0	-817	-520	66	604	538	122	352	758	1918	678
8_40_100_28_nonfl	2254	1657	145.41479820627802	33.97234678624813	89.69357249626307	0	243	756	1677	1597	894	20.0	-1.0	-890	-120	134	465	331	435	309	552	1499	868
6_70_700_36_nonfl	1329	1657	28.843033509700177	2.1547619047619047	15.498897707231041	10	368	771	1129	1388	806	0.0	-1.0	-1109	-720	233	376	143	50	304	672	1382	582
4_50_700_12_float	12861	1657	177.15888137676706	-39.999078057775044	108.57897971727105	13	672	282	2300	1494	845	61.0	-1.0	-847	-1162	1	10323	10322	640	25	697	2743	486
8_50_700_12_float	7918	1657	177.15888137676706	-39.999078057775044	108.57897971727105	13	672	282	2300	1494	845	61.0	-1.0	-847	-1162	1	5380	5379	640	25	697	2743	486
6_70_300_20_float	2519	1657	78.06893265565438	0.25984752223634056	39.16439008894536	3	949	469	1730	1288	962	5.5	-1.0	-1108	-883	15	676	661	246	14	963	2467	667
6_60_300_12_float	6051	1657	163.6046942557134	-13.567634342186535	88.58616429894997	4	724	294	2220	1580	962	53.0	-1.0	-513	-775	1	3619	3618	578	23	747	2701	514
4_40_300_36_float	2800	1657	59.78624914908101	20.45847515316542	40.12236215112321	1	848	589	1501	1596	901	3.0	-1.0	-864	-663	62	1167	1105	205	16	864	2090	832
8_60_700_28_float	1972	1657	46.95853324194654	-1.1069225496915696	24.032727895819054	11	950	511	1457	1280	962	0.0	-1.0	-805	-822	68	455	387	110	17	967	2208	693
2_70_300_12_float	7639	1657	155.7420659614188	-11.469819539514624	83.60594275046671	4	746	309	2159	1580	962	46.0	-1.0	-517	-775	1	5301	5300	524	22	768	2647	545
6_40_300_28_nonfl	2181	1657	67.24434229137199	4.0134370579915135	35.62888967468175	0	371	869	1588	1597	851	4.0	-1.0	-806	-320	93	628	535	203	344	715	1809	675
8_30_500_28_nonfl	1941	1657	66.09009679821295	-11.955696202531646	39.0228965003723	2	378	787	1521	1370	806	4.0	-1.0	-682	-520	134	516	382	185	336	714	1790	560
6_60_500_28_float	2004	1657	43.602511880515955	2.1378139850644944	22.870162932790226	2	947	523	1476	1280	962	1.0	-1.0	-815	-519	71	469	398	117	17	964	2241	688
6_50_100_28_float	2552	1657	109.3497248968363	42.168844566712515	75.75928473177441	0	681	605	1622	1596	962	8.0	-1.0	-1155	-119	82	685	603	381	20	701	1929	959
2_30_300_12_nonfl	8619	1657	150.25866261398176	-26.20212765957447	88.23039513677811	5	347	642	2301	1588	776	43.0	-4.0	-505	-654	0	6170	6170	577	323	670	2526	441
10_40_100_20_nonfl	2552	1657	145.78293010752688	21.497311827956988	83.64012096774194	0	309	761	1906	1623	966	23.0	-1.0	-838	-149	64	469	405	484	309	618	1842	825
4_70_700_28_nonfl	1689	1657	41.94480755265069	-7.733478576615831	24.83914306463326	11	404	899	1451	1275	963	2.0	-1.0	-1109	-821	99	317	218	87	338	742	1776	640
8_40_500_20_nonfl	2497	1657	76.37524240465417	-18.724806201550386	47.550024303102276	6	411	848	1835	1275	806	8.0	-1.0	-513	-746	30	687	657	244	358	769	2171	567
10_30_700_36_float	2162	1657	42.903367496339676	7.809297218155198	25.35633235724744	12	868	511	1353	1385	901	0.0	-1.0	-661	-822	110	769	659	125	15	883	1995	722
6_70_300_36_nonfl	1369	1657	33.408849557522124	22.332300884955753	27.870575221238937	0	344	778	1138	1388	1211	1.0	-1.0	-1109	-320	248	391	143	93	296	640	1337	627
6_70_700_12_nonfl	3546	1657	129.69283489096574	-44.35411471321696	87.02347480209136	14	362	734	2114	1490	959	27.0	-4.0	-981	-1005	3	1420	1417	408	294	656	2401	513
10_40_700_12_float	7650	1657	182.6834862385321	-41.03211009174312	111.85779816513761	13	660	275	2335	1494	845	66.0	-1.0	-847	-1162	0	5012	5012	680	25	685	2784	461
2_60_700_36_nonfl	1535	1657	25.225949878738884	4.356507679870655	14.79122877930477	10	379	871	1224	1388	806	0.0	-1.0	-1109	-821	168	410	242	53	326	705	1490	658
10_60_500_36_nonfl	1198	1657	29.004322766570606	4.5782901056676275	16.791306436119118	1	346	703	1033	1388	960	0.0	-1.0	-1109	-520	299	390	91	63	277	623	1293	512
2_70_700_28_nonfl	1744	1657	41.20693352394567	-7.562902072909221	24.384917798427445	11	406	918	1474	1275	963	2.0	-1.0	-1109	-821	86	337	251	87	340	746	1805	653
8_30_700_28_nonfl	1895	1657	60.423569277108435	-15.358433734939759	37.8910015060241	11	376	789	1491	1275	963	3.0	-1.0	-682	-821	134	507	373	166	338	714	1756	562
10_70_300_12_float	4530	1657	155.7420659614188	-11.469819539514624	83.60594275046671	4	746	309	2159	1580	962	46.0	-1.0	-517	-775	2	2193	2191	524	22	768	2647	545
2_50_300_12_nonfl	5998	1657	135.33518176216882	-21.264325323475045	78.29975354282193	5	357	696	2193	1588	960	34.0	-4.0	-517	-443	3	3736	3733	482	306	663	2442	498
8_50_100_12_nonfl	3586	1657	160.61215538847117	9.177318295739349	84.89473684210526	3	313	699	2180	1588	960	36.0	-1.0	-699	-209	10	1176	1166	575	307	620	2167	718
6_60_700_20_float	2872	1657	86.58281053952321	-16.677227101631118	51.63001882057716	13	960	420	1808	1280	962	8.0	-1.0	-513	-948	8	993	985	245	19	979	2546	623
2_50_500_20_nonfl	2962	1657	71.49782338308458	-17.40522063393412	44.45152200850935	6	420	905	1891	1275	959	8.0	-1.0	-513	-746	7	1104	1097	218	367	787	2240	611
8_50_700_20_nonfl	2356	1657	80.65013140604468	-23.380827314510835	52.01547936027776	14	407	835	1802	1275	963	8.0	-1.0	-513	-821	33	609	576	221	359	766	2114	573
10_50_700_20_float	3063	1657	89.23487211478478	-17.082033686837182	53.15845290081098	13	943	417	1846	1280	962	10.0	-1.0	-513	-948	5	1139	1134	268	19	962	2568	619
2_40_500_28_float	3254	1657	51.46460746460747	1.475868725868726	26.4702380952381	4	953	545	1610	1280	805	3.0	-1.0	-712	-588	26	1523	1497	176	17	970	2370	721
4_60_500_36_nonfl	1529	1657	23.194194603434177	8.652902698282912	15.923548650858544	1	379	852	1215	1388	960	0.0	-1.0	-1109	-520	183	423	240	63	319	698	1480	647
8_60_100_36_nonfl	1561	1657	86.67545454545454	63.50863636363636	75.09204545454546	0	227	793	1180	1487	1211	3.0	0.0	-1114	-120	263	411	148	261	262	489	1065	873
4_30_700_28_float	5386	1657	56.0254877281309	-3.5840151038388925	29.804751415984896	11	957	562	1659	1383	805	3.0	-1.0	-889	-948	12	3564	3552	209	17	974	2445	716
2_50_500_12_nonfl	7682	1657	135.5319214241866	-36.673112338858196	86.1025168815224	9	360	684	2214	1490	636	35.0	-4.0	-486	-1005	3	5425	5422	480	311	671	2479	468
2_30_700_28_float	6138	1657	56.11198243412798	-3.382685069008783	29.747333751568384	11	959	562	1667	1383	805	3.0	-1.0	-889	-948	10	4309	4299	209	17	976	2448	723
10_30_700_28_nonfl	1678	1657	64.51972624798712	-14.322463768115941	39.42109500805153	11	371	712	1401	1275	963	3.5	-1.0	-647	-726	183	436	253	156	314	685	1660	510
2_70_500_12_float	11502	1657	160.17399380804954	-27.195046439628484	93.68452012383901	7	730	309	2191	1494	962	49.0	-1.0	-757	-1008	2	9141	9139	545	25	755	2690	515
2_50_500_28_float	2308	1657	47.00963455149502	1.920265780730897	24.464950166112956	2	945	535	1530	1280	962	2.0	-1.0	-815	-519	56	699	643	140	16	961	2299	695
2_50_700_20_float	3386	1657	89.23487211478478	-17.082033686837182	53.15845290081098	13	943	417	1846	1280	962	10.0	-1.0	-513	-948	5	1462	1457	268	19	962	2568	619
8_60_300_20_nonfl	2211	1657	77.77485187623437	-3.4190256747860435	40.5969387755102	2	405	882	1751	1336	969	6.0	-1.0	-806	-546	41	463	422	235	351	756	2060	627
2_30_500_12_float	17845	1657	188.41033434650456	-33.60577507598784	111.0080547112462	7	657	243	2390	1494	836	70.0	-1.0	-757	-1008	0	15090	15090	731	26	683	2847	417
8_70_700_28_nonfl	1551	1657	44.24550430023456	-8.87099296325254	26.55824863174355	10	389	820	1349	1275	963	2.0	-1.0	-1109	-821	144	322	178	87	322	711	1645	591
2_30_300_36_float	3524	1657	72.18770545693623	19.51413543721236	45.850920447074294	2	844	585	1613	1596	957	3.0	-1.0	-712	-553	33	1753	1720	253	18	862	2164	860
8_70_700_28_float	1823	1657	46.462105263157895	-1.6357894736842105	24.048947368421054	11	940	492	1418	1280	962	0.0	-1.0	-1108	-822	78	361	283	103	16	956	2159	675
8_40_500_36_nonfl	1429	1657	44.14544650751547	0.39832007073386383	22.27188328912467	1	348	731	1183	1388	806	2.0	-1.0	-999	-520	254	436	182	105	299	647	1413	550
8_50_300_36_nonfl	1440	1657	55.361258865248224	13.707446808510639	34.534352836879435	0	332	730	1194	1597	1211	2.0	-1.0	-999	-320	254	421	167	137	295	627	1368	593
10_40_700_20_float	3774	1657	92.5822002472188	-18.831273176761435	55.70673671199012	13	939	412	1885	1280	755	12.0	-1.0	-513	-948	2	1786	1784	303	20	959	2607	609
4_40_300_12_nonfl	5076	1657	141.64880587875078	-23.9213104715248	82.78505817513779	5	355	672	2239	1588	776	39.0	-4.0	-517	-443	2	2722	2720	528	313	668	2476	477
10_50_700_20_nonfl	2086	1657	82.82650273224044	-23.27952218430034	53.05301245827039	14	397	802	1729	1275	963	8.0	-1.0	-513	-821	65	430	365	220	350	747	2028	552
10_70_500_28_float	1819	1657	43.07022471910113	2.4174859550561796	22.743855337078653	2	937	496	1415	1280	962	0.0	-1.0	-1108	-519	87	362	275	108	16	953	2164	668
8_30_700_12_nonfl	4205	1657	151.7495401594114	-49.66319018404908	100.70636517173024	14	345	644	2273	1490	700	41.0	-5.0	-981	-1005	1	1799	1798	563	321	666	2516	423
8_50_100_28_float	2543	1657	109.65137931034482	42.33827586206897	75.9948275862069	0	681	603	1616	1596	962	8.0	-1.0	-1155	-119	84	682	598	381	20	701	1923	957
4_50_100_20_nonfl	2919	1657	124.61362169141381	28.313105229180117	76.46336346029696	0	330	883	1885	1623	966	14.0	-1.0	-888	-149	30	830	800	434	316	646	1858	924
4_50_500_12_float	10673	1657	173.44036697247705	-30.729357798165136	102.08486238532109	7	689	273	2308	1494	836	60.0	-1.0	-757	-1008	1	8127	8126	640	25	714	2773	472
2_60_300_20_nonfl	2592	1657	74.7666244458518	-4.434768841038632	39.60069664344522	2	408	928	1822	1336	969	7.0	-1.0	-806	-546	16	759	743	235	359	767	2150	649
6_30_700_28_nonfl	2196	1657	56.87606534090909	-12.945667613636363	34.91086647727273	11	388	863	1565	1275	963	3.0	-1.0	-682	-821	91	680	589	171	352	740	1852	612
10_40_300_36_float	2248	1657	67.85734974656046	17.42034757422158	42.63884866039102	1	806	510	1446	1596	901	3.0	-1.0	-864	-663	110	753	643	203	16	822	1990	756
10_70_500_20_nonfl	1915	1657	68.46399176954732	-14.693968471555861	41.57898012055159	6	406	851	1659	1275	959	4.0	-1.0	-1109	-746	71	327	256	177	346	752	1992	580
8_40_100_20_float	3995	1657	143.88178415470992	24.447910168434184	84.16484716157206	0	758	461	1987	1628	972	24.5	-1.0	-895	-174	11	1669	1658	538	25	783	2296	885
2_60_700_28_float	2024	1657	46.40074525745258	-0.9779810298102981	23.68936314363144	11	958	521	1473	1280	962	0.0	-1.0	-805	-822	60	482	422	110	17	975	2233	702
10_60_700_36_float	1601	1657	29.97171314741036	8.625896414342629	19.298804780876495	12	869	472	1169	1385	957	0.0	-1.0	-1108	-822	162	444	282	61	15	884	1825	670
6_60_700_36_float	1617	1657	29.36406619385343	8.932624113475176	19.1483451536643	12	883	478	1177	1385	957	0.0	-1.0	-1108	-822	147	431	284	61	15	898	1837	686
6_40_500_36_nonfl	1640	1657	40.37080948487326	4.473426001635323	22.422117743254294	1	363	806	1277	1388	806	2.0	-1.0	-999	-520	194	491	297	109	313	676	1509	624
6_50_700_36_nonfl	1541	1657	31.19125	1.98	16.585625	10	372	820	1208	1388	806	1.0	-1.0	-999	-720	196	465	269	65	312	684	1468	620
10_40_100_20_float	3973	1657	143.88178415470992	24.447910168434184	84.16484716157206	0	758	461	1987	1628	972	24.5	-1.0	-895	-174	11	1647	1636	538	25	783	2296	885
10_70_100_12_nonfl	2799	1657	139.16001287830005	16.71152607855763	77.93576947842884	3	326	780	2000	1490	960	23.0	-1.0	-600	-209	27	633	606	464	284	610	2038	784
4_40_300_28_float	3312	1657	67.66999356084997	8.968448164842242	38.31922086284611	2	891	545	1670	1596	805	3.0	-1.0	-712	-553	28	1514	1486	236	18	909	2328	760
2_60_100_36_nonfl	1755	1657	74.99500416319734	66.45670274771024	70.72585345545379	0	233	915	1254	1487	1211	2.0	0.0	-1114	-120	193	433	240	262	280	513	1149	973
6_60_100_36_nonfl	1707	1657	77.73654995730145	67.00128095644749	72.36891545687448	0	231	882	1229	1487	1211	2.0	0.0	-1114	-120	220	442	222	262	269	500	1124	949
10_50_700_28_float	2226	1657	50.74184782608695	-1.9735054347826086	26.35767663043478	11	940	509	1495	1280	962	2.0	-1.0	-805	-948	61	663	602	132	16	956	2243	685
4_40_500_12_float	11952	1657	179.14029214850882	-31.29032258064516	105.21530736457699	7	679	261	2346	1494	836	65.0	-1.0	-757	-1008	0	9307	9307	679	25	704	2807	454
2_40_300_20_float	3967	1657	95.72738461538462	-4.765846153846154	50.24661538461539	3	922	437	1891	1288	805	13.0	-1.0	-625	-883	4	1915	1911	348	19	941	2595	636
8_70_300_20_float	2495	1657	78.06893265565438	0.25984752223634056	39.16439008894536	3	949	469	1730	1288	962	5.5	-1.0	-1108	-883	15	652	637	246	14	963	2467	667
2_30_500_20_nonfl	5706	1657	81.47617593158216	-21.175518925518926	51.325847428550546	6	410	886	1978	1383	806	10.0	-2.0	-561	-746	0	3721	3721	289	374	784	2318	584
4_50_700_28_nonfl	2073	1657	44.59729916897507	-7.261426592797784	25.929362880886426	11	403	944	1541	1275	963	2.0	-1.0	-806	-821	73	576	503	110	350	753	1870	668
2_40_700_28_nonfl	2761	1657	46.95722811671087	-7.3978779840848805	27.177553050397876	11	407	977	1632	1275	963	3.0	-1.0	-806	-821	37	1133	1096	135	361	768	1953	702
2_70_300_36_nonfl	1417	1657	31.954273504273505	22.323076923076922	27.138675213675214	0	350	810	1180	1388	1211	1.0	-1.0	-1109	-320	221	372	151	93	310	660	1380	650
4_30_300_12_nonfl	6313	1657	150.25866261398176	-26.20212765957447	88.23039513677811	5	347	642	2301	1588	776	43.0	-4.0	-505	-654	1	3865	3864	577	323	670	2526	441
6_70_500_12_float	7081	1657	160.17399380804954	-27.195046439628484	93.68452012383901	7	730	309	2191	1494	962	49.0	-1.0	-757	-1008	2	4720	4718	545	25	755	2690	515
6_50_100_28_nonfl	2291	1657	113.4394488759971	42.95975344452502	78.19960116026107	0	262	893	1603	1597	1116	10.0	-1.0	-1157	-120	110	556	446	369	306	568	1500	952
6_50_500_28_nonfl	1985	1657	44.91648822269807	-3.71163454675232	24.314061384725196	2	397	911	1494	1275	960	2.0	-1.0	-817	-520	93	539	446	122	341	738	1818	643
10_30_500_36_float	2214	1657	46.326338639652676	9.33465991316932	27.830499276410997	3	860	517	1387	1385	901	1.0	-1.0	-661	-588	110	780	670	150	15	875	2029	720
8_40_700_20_nonfl	2475	1657	82.93635770234987	-25.38519243313764	54.16077506774376	15	403	830	1831	1275	963	9.0	-1.0	-513	-821	31	680	649	246	360	763	2144	562
2_50_500_36_nonfl	1817	1657	25.785768645357688	8.826864535768646	17.306316590563167	1	385	932	1311	1388	960	0.0	-1.0	-999	-520	130	546	416	80	338	723	1583	707
8_40_100_12_float	5948	1657	200.59386503067483	5.030981595092024	102.81242331288342	2	635	282	2343	1590	691	64.0	-1.0	-530	-160	3	3132	3129	755	25	660	2619	616
8_50_300_20_float	3077	1657	91.27213216957605	-2.135286783042394	46.70370947630922	3	931	439	1838	1288	962	10.0	-1.0	-625	-883	8	1110	1102	306	16	947	2544	648
2_50_300_20_nonfl	2898	1657	77.68984962406014	-5.951754385964913	41.82080200501253	2	406	917	1869	1336	969	8.0	-1.0	-806	-546	13	1013	1000	258	363	769	2190	639
8_30_300_36_float	2485	1657	80.80508474576271	14.281073446327683	47.5430790960452	2	816	489	1527	1596	901	3.5	-1.0	-661	-553	91	883	792	247	17	833	2061	754
10_40_500_20_float	3763	1657	87.32114320835895	-14.02027027027027	50.67070673931461	5	949	420	1885	1280	805	11.0	-1.0	-561	-948	4	1766	1762	304	20	969	2631	605
6_70_500_12_nonfl	3451	1657	125.4292364990689	-33.55803848541279	79.49363749224085	9	367	741	2114	1490	959	26.0	-4.0	-495	-1005	5	1328	1323	404	299	666	2415	508
4_50_700_28_float	2279	1657	49.678714859437754	-1.892904953145917	25.785809906291835	11	950	523	1515	1280	962	2.0	-1.0	-805	-948	52	685	633	132	16	966	2276	696
2_60_100_20_nonfl	2649	1657	117.67838370565046	31.744743758212877	74.71156373193168	0	331	909	1804	1597	966	11.0	-1.0	-888	-120	38	656	618	394	309	640	1796	939
6_60_300_12_nonfl	3549	1657	128.08457711442787	-18.5342039800995	73.30939054726369	5	362	733	2121	1588	960	28.0	-3.0	-517	-443	7	1379	1372	435	294	656	2399	523
10_50_700_12_nonfl	3290	1657	140.57165109034267	-47.1783042394015	93.87497766487209	14	354	667	2189	1490	700	36.0	-5.0	-981	-1005	7	1053	1046	486	304	658	2439	465
10_70_100_20_float	2507	1657	111.45490454246215	35.53982883475971	73.49736668861092	0	794	537	1707	1506	965	8.0	-1.0	-1110	-119	40	548	508	377	19	813	2077	942
8_50_700_20_float	3127	1657	89.23487211478478	-17.082033686837182	53.15845290081098	13	943	417	1846	1280	962	10.0	-1.0	-513	-948	5	1203	1198	268	19	962	2568	619
2_30_500_12_nonfl	10322	1657	147.5015216068168	-39.295496043822276	93.39850882531954	9	350	647	2289	1490	506	41.0	-4.0	-486	-1005	0	7908	7908	557	326	676	2536	424
4_50_300_20_nonfl	2770	1657	77.70626959247649	-5.949529780564263	41.827899686520375	2	406	917	1867	1336	969	8.0	-1.0	-806	-546	14	887	873	258	363	769	2188	639
10_70_500_12_float	5223	1657	160.17399380804954	-27.195046439628484	93.68452012383901	7	730	309	2191	1494	962	49.0	-1.0	-757	-1008	2	2862	2860	545	25	755	2690	515
4_60_100_28_float	2204	1657	100.2901278409091	45.17613636363637	72.73313210227273	0	698	601	1517	1596	1117	4.0	-1.0	-1155	-119	99	476	377	331	18	716	1847	951
10_50_100_12_float	4732	1657	190.18404717566727	9.438547486033519	99.8112973308504	2	658	318	2246	1590	776	55.0	-1.0	-602	-160	6	2083	2077	689	23	681	2532	667
8_40_500_28_nonfl	1833	1657	54.530359820089956	-8.378185907046477	31.454272863568217	2	383	823	1462	1275	806	3.0	-1.0	-806	-520	134	462	328	148	328	711	1756	584
6_30_500_28_nonfl	2246	1657	62.72557976106817	-9.572733661278988	36.149156711173575	2	390	859	1597	1370	806	3.0	-1.0	-682	-520	91	692	601	191	350	740	1884	612
2_70_500_20_float	2706	1657	77.0837531486146	-10.519509125235997	43.8016311369253	5	969	443	1764	1280	962	6.0	-1.0	-499	-948	9	872	863	219	19	988	2525	634
2_30_300_20_nonfl	5687	1657	94.45978062157221	-11.429920780012187	52.944850700792195	2	398	889	1995	1383	806	12.0	-1.0	-625	-546	1	3629	3628	345	374	772	2290	618
10_40_500_12_float	7177	1657	179.14029214850882	-31.29032258064516	105.21530736457699	7	679	261	2346	1494	836	65.0	-1.0	-757	-1008	0	4532	4532	679	25	704	2807	454
4_70_300_36_float	1494	1657	37.906688687035505	23.916184971098264	30.911436829066886	0	806	452	1164	1385	1144	0.0	-1.0	-1108	-319	201	381	180	99	10	816	1744	668
