,run,score,min-match,min-align,gap,ngrams,ngram-type
602,4_60_300_12_nonfl,19065,4,60,300,12,nonfl
424,4_60_300_20_float,4010,4,60,300,20,float
225,4_60_300_20_nonfl,320,4,60,300,20,nonfl
39,4_60_300_28_float,20,4,60,300,28,float
137,4_60_300_28_nonfl,130,4,60,300,28,nonfl
167,4_60_300_36_float,170,4,60,300,36,float
198,4_60_300_36_nonfl,240,4,60,300,36,nonfl
766,4_60_500_12_float,82760,4,60,500,12,float
623,4_60_500_12_nonfl,23035,4,60,500,12,nonfl
432,4_60_500_20_float,4640,4,60,500,20,float
201,4_60_500_20_nonfl,240,4,60,500,20,nonfl
34,4_60_500_28_float,20,4,60,500,28,float
130,4_60_500_28_nonfl,120,4,60,500,28,nonfl
131,4_60_500_36_float,120,4,60,500,36,float
189,4_60_500_36_nonfl,210,4,60,500,36,nonfl
781,4_60_700_12_float,106445,4,60,700,12,float
636,4_60_700_12_nonfl,25765,4,60,700,12,nonfl
444,4_60_700_20_float,5380,4,60,700,20,float
244,4_60_700_20_nonfl,420,4,60,700,20,nonfl
9,4_60_700_28_float,0,4,60,700,28,float
113,4_60_700_28_nonfl,110,4,60,700,28,nonfl
119,4_60_700_36_float,120,4,60,700,36,float
188,4_60_700_36_nonfl,210,4,60,700,36,nonfl
608,4_70_100_12_float,19700,4,70,100,12,float
524,4_70_100_12_nonfl,10365,4,70,100,12,nonfl
347,4_70_100_20_float,1490,4,70,100,20,float
296,4_70_100_20_nonfl,710,4,70,100,20,nonfl
89,4_70_100_28_float,80,4,70,100,28,float
250,4_70_100_28_nonfl,450,4,70,100,28,nonfl
284,4_70_100_36_float,670,4,70,100,36,float
299,4_70_100_36_nonfl,720,4,70,100,36,nonfl
698,4_70_300_12_float,46455,4,70,300,12,float
565,4_70_300_12_nonfl,15090,4,70,300,12,nonfl
314,4_70_300_20_float,930,4,70,300,20,float
3,4_70_300_20_nonfl,0,4,70,300,20,nonfl
67,4_70_300_28_float,50,4,70,300,28,float
162,4_70_300_28_nonfl,160,4,70,300,28,nonfl
227,4_70_300_36_float,330,4,70,300,36,float
342,4_70_300_36_nonfl,1420,4,70,300,36,nonfl
757,4_70_500_12_float,74770,4,70,500,12,float
605,4_70_500_12_nonfl,19260,4,70,500,12,nonfl
358,4_70_500_20_float,1670,4,70,500,20,float
7,4_70_500_20_nonfl,0,4,70,500,20,nonfl
59,4_70_500_28_float,40,4,70,500,28,float
144,4_70_500_28_nonfl,140,4,70,500,28,nonfl
270,4_70_500_36_float,550,4,70,500,36,float
363,4_70_500_36_nonfl,1760,4,70,500,36,nonfl
777,4_70_700_12_float,98010,4,70,700,12,float
617,4_70_700_12_nonfl,21970,4,70,700,12,nonfl
382,4_70_700_20_float,2450,4,70,700,20,float
4,4_70_700_20_nonfl,0,4,70,700,20,nonfl
30,4_70_700_28_float,20,4,70,700,28,float
139,4_70_700_28_nonfl,130,4,70,700,28,nonfl
283,4_70_700_36_float,660,4,70,700,36,float
368,4_70_700_36_nonfl,1850,4,70,700,36,nonfl
759,6_30_100_12_float,76215,6,30,100,12,float
668,6_30_100_12_nonfl,35500,6,30,100,12,nonfl
729,6_30_100_20_float,55020,6,30,100,20,float
