,run,score,min-match,min-align,gap,ngrams,ngram-type
316,8_50_300_36_nonfl,1000,8,50,300,36,nonfl
732,8_50_500_12_float,55970,8,50,500,12,float
566,8_50_500_12_nonfl,15095,8,50,500,12,nonfl
472,8_50_500_20_float,7280,8,50,500,20,float
138,8_50_500_20_nonfl,130,8,50,500,20,nonfl
29,8_50_500_28_float,20,8,50,500,28,float
183,8_50_500_28_nonfl,190,8,50,500,28,nonfl
135,8_50_500_36_float,120,8,50,500,36,float
365,8_50_500_36_nonfl,1790,8,50,500,36,nonfl
742,8_50_700_12_float,64360,8,50,700,12,float
570,8_50_700_12_nonfl,15490,8,50,700,12,nonfl
476,8_50_700_20_float,7530,8,50,700,20,float
66,8_50_700_20_nonfl,50,8,50,700,20,nonfl
19,8_50_700_28_float,10,8,50,700,28,float
173,8_50_700_28_nonfl,180,8,50,700,28,nonfl
126,8_50_700_36_float,120,8,50,700,36,float
374,8_50_700_36_nonfl,2150,8,50,700,36,nonfl
621,8_60_100_12_float,22840,8,60,100,12,float
528,8_60_100_12_nonfl,10685,8,60,100,12,nonfl
435,8_60_100_20_float,4790,8,60,100,20,float
319,8_60_100_20_nonfl,1020,8,60,100,20,nonfl
180,8_60_100_28_float,190,8,60,100,28,float
248,8_60_100_28_nonfl,440,8,60,100,28,nonfl
257,8_60_100_36_float,510,8,60,100,36,float
291,8_60_100_36_nonfl,690,8,60,100,36,nonfl
672,8_60_300_12_float,35900,8,60,300,12,float
527,8_60_300_12_nonfl,10675,8,60,300,12,nonfl
407,8_60_300_20_float,3290,8,60,300,20,float
53,8_60_300_20_nonfl,30,8,60,300,20,nonfl
44,8_60_300_28_float,20,8,60,300,28,float
194,8_60_300_28_nonfl,220,8,60,300,28,nonfl
187,8_60_300_36_float,200,8,60,300,36,float
364,8_60_300_36_nonfl,1770,8,60,300,36,nonfl
703,8_60_500_12_float,47450,8,60,500,12,float
535,8_60_500_12_nonfl,11465,8,60,500,12,nonfl
410,8_60_500_20_float,3530,8,60,500,20,float
37,8_60_500_20_nonfl,20,8,60,500,20,nonfl
40,8_60_500_28_float,20,8,60,500,28,float
192,8_60_500_28_nonfl,210,8,60,500,28,nonfl
160,8_60_500_36_float,150,8,60,500,36,float
381,8_60_500_36_nonfl,2380,8,60,500,36,nonfl
733,8_60_700_12_float,56015,8,60,700,12,float
538,8_60_700_12_nonfl,12045,8,60,700,12,nonfl
422,8_60_700_20_float,3840,8,60,700,20,float
46,8_60_700_20_nonfl,20,8,60,700,20,nonfl
16,8_60_700_28_float,10,8,60,700,28,float
186,8_60_700_28_nonfl,200,8,60,700,28,nonfl
147,8_60_700_36_float,150,8,60,700,36,float
389,8_60_700_36_nonfl,2670,8,60,700,36,nonfl
586,8_70_100_12_float,16850,8,70,100,12,float
468,8_70_100_12_nonfl,7065,8,70,100,12,nonfl
331,8_70_100_20_float,1230,8,70,100,20,float
252,8_70_100_20_nonfl,480,8,70,100,20,nonfl
90,8_70_100_28_float,80,8,70,100,28,float
262,8_70_100_28_nonfl,520,8,70,100,28,nonfl
285,8_70_100_36_float,670,8,70,100,36,float
344,8_70_100_36_nonfl,1420,8,70,100,36,nonfl
649,8_70_300_12_float,29865,8,70,300,12,float
479,8_70_300_12_nonfl,7730,8,70,300,12,nonfl
235,8_70_300_20_float,360,8,70,300,20,float
15,8_70_300_20_nonfl,10,8,70,300,20,nonfl
62,8_70_300_28_float,50,8,70,300,28,float
200,8_70_300_28_nonfl,240,8,70,300,28,nonfl
249,8_70_300_36_float,450,8,70,300,36,float
386,8_70_300_36_nonfl,2600,8,70,300,36,nonfl
687,8_70_500_12_float,41540,8,70,500,12,float
501,8_70_500_12_nonfl,8790,8,70,500,12,nonfl
287,8_70_500_20_float,670,8,70,500,20,float
35,8_70_500_20_nonfl,20,8,70,500,20,nonfl
58,8_70_500_28_float,40,8,70,500,28,float
193,8_70_500_28_nonfl,220,8,70,500,28,nonfl
292,8_70_500_36_float,690,8,70,500,36,float
400,8_70_500_36_nonfl,3100,8,70,500,36,nonfl
712,8_70_700_12_float,50040,8,70,700,12,float
511,8_70_700_12_nonfl,9410,8,70,700,12,nonfl
317,8_70_700_20_float,1020,8,70,700,20,float
49,8_70_700_20_nonfl,20,8,70,700,20,nonfl
51,8_70_700_28_float,30,8,70,700,28,float
190,8_70_700_28_nonfl,210,8,70,700,28,nonfl
307,8_70_700_36_float,790,8,70,700,36,float
406,8_70_700_36_nonfl,3280,8,70,700,36,nonfl
746,10_30_100_12_float,66795,10,30,100,12,float
611,10_30_100_12_nonfl,20840,10,30,100,12,nonfl
705,10_30_100_20_float,48540,10,30,100,20,float
447,10_30_100_20_nonfl,5510,10,30,100,20,nonfl
614,10_30_100_28_float,21345,10,30,100,28,float
349,10_30_100_28_nonfl,1520,10,30,100,28,nonfl
456,10_30_100_36_float,6085,10,30,100,36,float
326,10_30_100_36_nonfl,1145,10,30,100,36,nonfl
754,10_30_300_12_float,72450,10,30,300,12,float
584,10_30_300_12_nonfl,16680,10,30,300,12,nonfl
690,10_30_300_20_float,42500,10,30,300,20,float
277,10_30_300_20_nonfl,590,10,30,300,20,nonfl
546,10_30_300_28_float,13210,10,30,300,28,float
223,10_30_300_28_nonfl,320,10,30,300,28,nonfl
125,10_30_300_36_float,120,10,30,300,36,float
345,10_30_300_36_nonfl,1430,10,30,300,36,nonfl
761,10_30_500_12_float,79110,10,30,500,12,float
577,10_30_500_12_nonfl,16015,10,30,500,12,nonfl
685,10_30_500_20_float,41370,10,30,500,20,float
206,10_30_500_20_nonfl,260,10,30,500,20,nonfl
536,10_30_500_28_float,11510,10,30,500,28,float
219,10_30_500_28_nonfl,300,10,30,500,28,nonfl
124,10_30_500_36_float,120,10,30,500,36,float
390,10_30_500_36_nonfl,2670,10,30,500,36,nonfl
769,10_30_700_12_float,84140,10,30,700,12,float
580,10_30_700_12_nonfl,16135,10,30,700,12,nonfl
683,10_30_700_20_float,40960,10,30,700,20,float
143,10_30_700_20_nonfl,140,10,30,700,20,nonfl
530,10_30_700_28_float,10790,10,30,700,28,float
214,10_30_700_28_nonfl,290,10,30,700,28,nonfl
128,10_30_700_36_float,120,10,30,700,36,float
401,10_30_700_36_nonfl,3140,10,30,700,36,nonfl
686,10_40_100_12_float,41400,10,40,100,12,float
581,10_40_100_12_nonfl,16340,10,40,100,12,nonfl
597,10_40_100_20_float,18570,10,40,100,20,float
379,10_40_100_20_nonfl,2370,10,40,100,20,nonfl
552,10_40_100_28_float,13735,10,40,100,28,float
274,10_40_100_28_nonfl,585,10,40,100,28,nonfl
414,10_40_100_36_float,3665,10,40,100,36,float
320,10_40_100_36_nonfl,1025,10,40,100,36,nonfl
709,10_40_300_12_float,49210,10,40,300,12,float
551,10_40_300_12_nonfl,13520,10,40,300,12,nonfl
567,10_40_300_20_float,15130,10,40,300,20,float
184,10_40_300_20_nonfl,190,10,40,300,20,nonfl
492,10_40_300_28_float,8380,10,40,300,28,float
224,10_40_300_28_nonfl,320,10,40,300,28,nonfl
132,10_40_300_36_float,120,10,40,300,36,float
373,10_40_300_36_nonfl,2140,10,40,300,36,nonfl
735,10_40_500_12_float,56700,10,40,500,12,float
547,10_40_500_12_nonfl,13315,10,40,500,12,nonfl
561,10_40_500_20_float,14790,10,40,500,20,float
70,10_40_500_20_nonfl,60,10,40,500,20,nonfl
473,10_40_500_28_float,7340,10,40,500,28,float
221,10_40_500_28_nonfl,300,10,40,500,28,nonfl
121,10_40_500_36_float,120,10,40,500,36,float
405,10_40_500_36_nonfl,3280,10,40,500,36,nonfl
741,10_40_700_12_float,62010,10,40,700,12,float
549,10_40_700_12_nonfl,13460,10,40,700,12,nonfl
560,10_40_700_20_float,14780,10,40,700,20,float
69,10_40_700_20_nonfl,60,10,40,700,20,nonfl
465,10_40_700_28_float,6860,10,40,700,28,float
215,10_40_700_28_nonfl,290,10,40,700,28,nonfl
120,10_40_700_36_float,120,10,40,700,36,float
415,10_40_700_36_nonfl,3700,10,40,700,36,nonfl
647,10_50_100_12_float,29705,10,50,100,12,float
541,10_50_100_12_nonfl,12530,10,50,100,12,nonfl
506,10_50_100_20_float,9200,10,50,100,20,float
333,10_50_100_20_nonfl,1270,10,50,100,20,nonfl
338,10_50_100_28_float,1360,10,50,100,28,float
253,10_50_100_28_nonfl,480,10,50,100,28,nonfl
294,10_50_100_36_float,700,10,50,100,36,float
315,10_50_100_36_nonfl,930,10,50,100,36,nonfl
677,10_50_300_12_float,38740,10,50,300,12,float
531,10_50_300_12_nonfl,10795,10,50,300,12,nonfl
464,10_50_300_20_float,6830,10,50,300,20,float
82,10_50_300_20_nonfl,80,10,50,300,20,nonfl
24,10_50_300_28_float,20,10,50,300,28,float
228,10_50_300_28_nonfl,330,10,50,300,28,nonfl
146,10_50_300_36_float,150,10,50,300,36,float
394,10_50_300_36_nonfl,2940,10,50,300,36,nonfl
699,10_50_500_12_float,46560,10,50,500,12,float
532,10_50_500_12_nonfl,10935,10,50,500,12,nonfl
463,10_50_500_20_float,6730,10,50,500,20,float
74,10_50_500_20_nonfl,70,10,50,500,20,nonfl
27,10_50_500_28_float,20,10,50,500,28,float
222,10_50_500_28_nonfl,310,10,50,500,28,nonfl
153,10_50_500_36_float,150,10,50,500,36,float
420,10_50_500_36_nonfl,3800,10,50,500,36,nonfl
722,10_50_700_12_float,51910,10,50,700,12,float
534,10_50_700_12_nonfl,11130,10,50,700,12,nonfl
466,10_50_700_20_float,6870,10,50,700,20,float
76,10_50_700_20_nonfl,70,10,50,700,20,nonfl
14,10_50_700_28_float,10,10,50,700,28,float
216,10_50_700_28_nonfl,300,10,50,700,28,nonfl
157,10_50_700_36_float,150,10,50,700,36,float
425,10_50_700_36_nonfl,4150,10,50,700,36,nonfl
616,10_60_100_12_float,21510,10,60,100,12,float
498,10_60_100_12_nonfl,8665,10,60,100,12,nonfl
433,10_60_100_20_float,4670,10,60,100,20,float
303,10_60_100_20_nonfl,740,10,60,100,20,nonfl
181,10_60_100_28_float,190,10,60,100,28,float
255,10_60_100_28_nonfl,510,10,60,100,28,nonfl
263,10_60_100_36_float,520,10,60,100,36,float
350,10_60_100_36_nonfl,1540,10,60,100,36,nonfl
650,10_60_300_12_float,30790,10,60,300,12,float
482,10_60_300_12_nonfl,7805,10,60,300,12,nonfl
395,10_60_300_20_float,2940,10,60,300,20,float
108,10_60_300_20_nonfl,90,10,60,300,20,nonfl
26,10_60_300_28_float,20,10,60,300,28,float
229,10_60_300_28_nonfl,340,10,60,300,28,nonfl
191,10_60_300_36_float,210,10,60,300,36,float
416,10_60_300_36_nonfl,3710,10,60,300,36,nonfl
676,10_60_500_12_float,38730,10,60,500,12,float
488,10_60_500_12_nonfl,8155,10,60,500,12,nonfl
399,10_60_500_20_float,3070,10,60,500,20,float
88,10_60_500_20_nonfl,80,10,60,500,20,nonfl
43,10_60_500_28_float,20,10,60,500,28,float
226,10_60_500_28_nonfl,320,10,60,500,28,nonfl
175,10_60_500_36_float,180,10,60,500,36,float
427,10_60_500_36_nonfl,4310,10,60,500,36,nonfl
693,10_60_700_12_float,44245,10,60,700,12,float
494,10_60_700_12_nonfl,8525,10,60,700,12,nonfl
404,10_60_700_20_float,3270,10,60,700,20,float
80,10_60_700_20_nonfl,80,10,60,700,20,nonfl
22,10_60_700_28_float,10,10,60,700,28,float
242,10_60_700_28_nonfl,400,10,60,700,28,nonfl
174,10_60_700_36_float,180,10,60,700,36,float
431,10_60_700_36_nonfl,4590,10,60,700,36,nonfl
575,10_70_100_12_float,15890,10,70,100,12,float
450,10_70_100_12_nonfl,5745,10,70,100,12,nonfl
329,10_70_100_20_float,1170,10,70,100,20,float
220,10_70_100_20_nonfl,300,10,70,100,20,nonfl
86,10_70_100_28_float,80,10,70,100,28,float
271,10_70_100_28_nonfl,560,10,70,100,28,nonfl
290,10_70_100_36_float,680,10,70,100,36,float
388,10_70_100_36_nonfl,2620,10,70,100,36,nonfl
630,10_70_300_12_float,25255,10,70,300,12,float
446,10_70_300_12_nonfl,5510,10,70,300,12,nonfl
234,10_70_300_20_float,360,10,70,300,20,float
78,10_70_300_20_nonfl,70,10,70,300,20,nonfl
65,10_70_300_28_float,50,10,70,300,28,float
231,10_70_300_28_nonfl,350,10,70,300,28,nonfl
266,10_70_300_36_float,530,10,70,300,36,float
426,10_70_300_36_nonfl,4270,10,70,300,36,nonfl
659,10_70_500_12_float,33330,10,70,500,12,float
457,10_70_500_12_nonfl,6130,10,70,500,12,nonfl
217,10_70_500_20_float,300,10,70,500,20,float
91,10_70_500_20_nonfl,80,10,70,500,20,nonfl
61,10_70_500_28_float,40,10,70,500,28,float
289,10_70_500_28_nonfl,680,10,70,500,28,nonfl
308,10_70_500_36_float,810,10,70,500,36,float
434,10_70_500_36_nonfl,4780,10,70,500,36,nonfl
678,10_70_700_12_float,38780,10,70,700,12,float
462,10_70_700_12_nonfl,6540,10,70,700,12,nonfl
267,10_70_700_20_float,540,10,70,700,20,float
81,10_70_700_20_nonfl,80,10,70,700,20,nonfl
50,10_70_700_28_float,30,10,70,700,28,float
312,10_70_700_28_nonfl,890,10,70,700,28,nonfl
313,10_70_700_36_float,910,10,70,700,36,float
437,10_70_700_36_nonfl,4950,10,70,700,36,nonfl
